id,user_id,assignment_id,user_group,exit_status,user_block,age,gender,degree,comment
1,4de0cf6b096da457c74094ed43708dbf,65c4130357786b3b50070a8c04745acb,feedback_vignette,churned,1,NA,NA,NA,NA
2,a934c3542c9850c13f35bb78dc6188af,d9b0397b51fcaa1692a3676bd2985cc2,vignette,churned,1,NA,NA,NA,NA
3,13db2b56a8e558fc0c271c9e80c95407,3f7d051485e4377080eec817a021a995,feedback_vignette,churned,1,NA,NA,NA,NA
4,e4f1027fa1140a91ff8040577a5fd780,43f186a086ba5b25ac0589e26d2f18a1,feedback_vignette,churned,1,NA,NA,NA,NA
5,c91f42f9634f29a818c355593580ee6d,7a04eb6e155f759acf6f1b25856cd748,feedback_vignette,churned,1,NA,NA,NA,NA
6,7150511334287c2e4bea2bfed704c55e,1063805d10943b176690aba564dc5e36,feedback_vignette,churned,1,NA,NA,NA,NA
7,a7536ad08257c77bbe46231129a50794,e69aaa6b1305af01b412ed6e4f86d0ee,feedback_vignette,submitted,1,48,f,Master degree,NA
8,b78c28c1099bfdaaf6abaa56bb3f1011,861d6b32a3892dd82766b340fff59b27,vignette,churned,1,NA,NA,NA,NA
9,ecf3ee4c1540042ab76b12ca9fff8b68,244826352dd4acf5dd3621e0f13efd67,feedback_full,submitted,1,30,f,Bachelor degree,none
10,e8e04820f0a3ab3a467acdb628f6bd91,7737440487c1dcc6bb1de87866f67e90,vignette,submitted,1,25,m,High school,NA
11,8d0e6e0e3d1937a7c6ccc2f865928074,7a04eb6e155f759acf6f1b25856cd748,feedback_full,submitted,1,25,m,Bachelor degree,NA
12,77679c693454e727062b5566ad96f495,a631e80a092206c4eab86a7bf538ca85,full,churned,1,NA,NA,NA,NA
13,1398467a82982f9950ffc46a0e179538,320bd6883e8748183d0cf54226ae90cd,vignette,churned,1,NA,NA,NA,NA
14,bc4f48b4671f3f87238b85af458093d1,2191b4d3428864b495224c7de31520ab,feedback_vignette,churned,1,NA,NA,NA,NA
15,599af7dcc8dc72ddb928e9abd711e45b,cc66f23023f34e32d419ec55e4095fe3,feedback_vignette,submitted,1,24,m,Bachelor degree,NA
16,dce1bd59f8c8a04ce528c5e29dd16160,320bd6883e8748183d0cf54226ae90cd,vignette,submitted,1,36,m,Master degree,this survey is very interesting
17,c092d84c420b9ae827f6a7f339241bf5,556cce1f8e060df5bd8653c35d519a33,full,churned,1,NA,NA,NA,NA
