id,user_id,assignment_id,user_group,exit_status,user_block,age,gender,degree,comment
1,abd70624973fef378f21faa5617a46d5,47c8783dce00df0dff46fac00a915af1,vignette,churned,1,123,m,Doctoral degree,NA
2,af14d5b50d8a285de998a3489ff7295e,0456990ef4e4613bfbaf0c6286b4d267,vignette,churned,1,22,f,High school,NA
3,fa9bab09714f839999b4bda45d393b83,90ab2ea7a72fa694e12d27b41cf264f9,feedback_vignette,submitted,1,24,m,Bachelor degree,I'm not sure if you were looking for the people who were smart enough to figure out that you should always pick the 31% option but you found one. If only 30% of people get re-arrested and it's fully random (which it was as far as I could tell) the best strategy is to always pick 31% chance of arrest.
4,68aceb5ad6e959900af040f726e6a5ff,1de903becff0a95e25c6eee505ee7d6c,vignette,submitted,1,25,m,Master degree,I do not have any comment
5,582dfffa3bdd1f2e6128f0edee54f526,0770d53e87c6819779763de950908316,feedback_vignette,submitted,1,35,m,High school,NA
6,732340411d79837df28b425904d7fef8,2f7d16d4e9463300d9d8d363fdf8ffae,feedback_full,submitted,1,37,m,High school,NA
7,d0cf4bf7f9a5478431ad28bab305f2e9,4199b683b017b246c4c62a050724d88a,feedback_vignette,submitted,1,24,m,Bachelor degree,NA
8,e493262d667bdffbdf543f4a1f642b10,af4822830b3d2e7d6e8de9fd2da6a613,vignette,submitted,1,67,f,High school,NA
9,e82ddf77ec2a979fa8794302c762f245,deefdc1c1c3ee285b782f1cb9fec47c6,feedback_vignette,churned,1,59,f,Bachelor degree,NA
10,63ba904a8f88e398fe9bc618c2031f24,2d34d7e0738a13d6ded15232522a9bb7,feedback_vignette,submitted,1,33,m,Bachelor degree,no feeback
11,5c685b4ef761cf233415122d3eb0293c,497dc8964bbfa4237e2095e8f7ab788a,vignette,churned,1,20,m,High school,NA
12,ecc581d9c4aa1daa77cc96a23e2009c1,497dc8964bbfa4237e2095e8f7ab788a,feedback_full,churned,1,37,m,High school,NA
13,518781e4f482963404ff4b17a0602448,f62381df8e532c463e6c96bb1e0b82e5,feedback_full,submitted,1,45,m,Bachelor degree,Thank you.
14,d2d781922c40ad076e71e7871a52f7a4,14cfed9c6a9c275402f883678fbeac5d,vignette,submitted,1,27,m,Bachelor degree,NA
15,f4b7796317383b61b26393cc8e146abd,502d115dbf0856cc1c6958603edd6aad,full,submitted,1,31,m,High school,How do we know the bonus amount?
16,9eab003103ccb57b6fceade3f36f8c22,9b6eec8bdba6b0462be792cdb73935a0,feedback_full,submitted,1,45,f,Bachelor degree,NA
17,0fcd8d3993b1e2a91894562c85b00468,f67bc06d49f763f9efc59ddefbf88669,feedback_vignette,submitted,1,29,f,High school,none
18,b0ec38433af8f3f07b14956354160c15,ad3fc449cd72ec61759ab03ac3c27c3d,vignette,churned,1,25,m,Master degree,NA
19,c7b041e37308192ca35c619a4f86b361,ad3fc449cd72ec61759ab03ac3c27c3d,vignette,submitted,1,25,f,Doctoral degree,very good
20,440a044de6e46de1548e5f15621e6b69,8e13fbf0bb0138ba09aeb4a26f38ea09,feedback_vignette,submitted,1,38,m,Bachelor degree,NA
21,4c8e6e3a8185cb8b21b73098e5574598,419579b4ad8e744785a40641648eb07b,feedback_full,submitted,1,25,f,High school,NA
22,a4b50ac3641136a8af477fd072abd154,56a8556382fb9b96c0df96087326366b,full,submitted,1,36,m,Bachelor degree,NA
23,f32a108a25fb235cfbacde6af70aa710,419e0fdabe3e56b715abafa6522cc04b,full,submitted,1,31,f,High school,NA
24,3d8bc6c8b092148daa39e0894c5f390a,08892b67116690252ecce7fa02644baf,feedback_vignette,submitted,1,30,f,Bachelor degree,this was interesting.  I would have liked to do a guys version too.
25,3f0c0dbc8d16372bb7756146ffcc4913,5efeb12d620f93cf5db9f9001347a84b,vignette,submitted,1,33,m,Doctoral degree,none
